Hash,State,County,Number of Bridges,Number of residents,Pct of Medium to Fair Condition Bridges,Pct of Poor Condition Bridges,Primary and Commercial Airports,Route miles of freight railroad,Route miles of passenger railroad and rail transit,Roads Acceptable
Alabama Autau,Alabama,Autauga County,114,55050,0.964912281,0.035087719,0,50.7,0,0.880672042
Alabama Baldw,Alabama,Baldwin County,360,199510,0.980555556,0.019444444,0,30.4,0,0.880672042
Alabama Barbo,Alabama,Barbour County,193,26615,0.968911917,0.031088083,0,14.7,0,0.880672042
Alabama Bloun,Alabama,Blount County,183,57705,0.912568306,0.087431694,0,13.1,0,0.880672042
Alabama Bullo,Alabama,Bullock County,138,10550,0.985507246,0.014492754,0,,,0.880672042
Alabama Butle,Alabama,Butler County,188,20280,0.946808511,0.053191489,0,45.3,0,0.880672042
Alabama Calho,Alabama,Calhoun County,374,115885,0.962566845,0.037433155,0,65.9,29.3,0.880672042
Alabama Chamb,Alabama,Chambers County,184,34020,0.929347826,0.070652174,0,28.9,0,0.880672042
Alabama Chero,Alabama,Cherokee County,169,25895,0.982248521,0.017751479,0,,,0.880672042
Alabama Chilt,Alabama,Chilton County,189,43815,0.984126984,0.015873016,0,59.4,0,0.880672042
Alabama Choct,Alabama,Choctaw County,153,13285,0.934640523,0.065359477,0,26.7,0,0.880672042
Alabama Clark,Alabama,Clarke County,155,24845,0.993548387,0.006451613,0,42.9,0,0.880672042
Alabama Clebu,Alabama,Cleburne County,165,14990,0.890909091,0.109090909,,19.7,19.7,0.880672042
Alabama Coffe,Alabama,Coffee County,214,50990,0.985981308,0.014018692,0,4.6,0,0.880672042
Alabama Colbe,Alabama,Colbert County,175,54375,0.988571429,0.011428571,1,70.3,0,0.880672042
Alabama Conec,Alabama,Conecuh County,226,12695,0.915929204,0.084070796,0,39.1,0,0.880672042
Alabama Coosa,Alabama,Coosa County,129,10865,0.937984496,0.062015504,0,12.9,0,0.880672042
Alabama Covin,Alabama,Covington County,337,37730,0.96735905,0.03264095,0,29.2,0,0.880672042
Alabama Crens,Alabama,Crenshaw County,171,13895,0.970760234,0.029239766,0,,,0.880672042
Alabama Cullm,Alabama,Cullman County,245,81315,0.946938776,0.053061224,0,24.6,0,0.880672042
Alabama Dalla,Alabama,Dallas County,227,41425,0.969162996,0.030837004,0,110.7,0,0.880672042
Alabama DeKal,Alabama,DeKalb County,300,70935,0.93,0.07,0,39.2,0,0.880672042
Alabama Elmor,Alabama,Elmore County,198,80955,0.96969697,0.03030303,0,16.2,0,0.880672042
Alabama Escam,Alabama,Escambia County,196,37875,0.964285714,0.035714286,0,89.6,0,0.880672042
Alabama Etowa,Alabama,Etowah County,231,103365,0.956709957,0.043290043,0,59.6,0,0.880672042
Alabama Fayet,Alabama,Fayette County,191,16785,0.989528796,0.010471204,0,20,0,0.880672042
Alabama Frank,Alabama,Franklin County,194,31575,0.948453608,0.051546392,0,22.9,0,0.880672042
Alabama Genev,Alabama,Geneva County,205,26765,0.96097561,0.03902439,0,,,0.880672042
Alabama Green,Alabama,Greene County,206,8585,0.941747573,0.058252427,0,69.2,20,0.880672042
Alabama Henry,Alabama,Henry County,133,17185,0.992481203,0.007518797,0,27.5,0,0.880672042
Alabama Houst,Alabama,Houston County,246,103890,0.991869919,0.008130081,0,73.7,0,0.880672042
Alabama Jacks,Alabama,Jackson County,313,52610,0.942492013,0.057507987,0,83.6,0,0.880672042
Alabama Jeffe,Alabama,Jefferson County,1051,659095,0.972407231,0.027592769,1,318.4,41.9,0.880672042
Alabama Lamar,Alabama,Lamar County,181,14065,0.966850829,0.033149171,0,37.8,0,0.880672042
Alabama Laude,Alabama,Lauderdale County,265,92640,0.928301887,0.071698113,0,16.2,0,0.880672042
Alabama Lawre,Alabama,Lawrence County,214,33435,0.96728972,0.03271028,0,27.8,0,0.880672042
Alabama Limes,Alabama,Limestone County,311,90255,0.971061093,0.028938907,0,42.1,0,0.880672042
Alabama Lownd,Alabama,Lowndes County,157,10565,0.987261146,0.012738854,0,46.7,0,0.880672042
Alabama Macon,Alabama,Macon County,177,19685,0.870056497,0.129943503,0,26.4,0,0.880672042
Alabama Madis,Alabama,Madison County,690,349975,0.97826087,0.02173913,1,52.5,4.8,0.880672042
Alabama Maren,Alabama,Marengo County,203,20065,0.9408867,0.0591133,0,110.6,0,0.880672042
Alabama Mario,Alabama,Marion County,255,30240,0.980392157,0.019607843,0,21.4,0,0.880672042
Alabama Marsh,Alabama,Marshall County,170,94535,0.911764706,0.088235294,0,16.3,0,0.880672042
Alabama Mobil,Alabama,Mobile County,592,414290,0.971283784,0.028716216,1,151.5,29.9,0.880672042
Alabama Monro,Alabama,Monroe County,145,21975,0.889655172,0.110344828,0,80.8,0,0.880672042
Alabama Montg,Alabama,Montgomery County,584,227390,0.98630137,0.01369863,1,99.6,0,0.880672042
Alabama Morga,Alabama,Morgan County,263,119555,0.984790875,0.015209125,0,40.6,0,0.880672042
Alabama Perry,Alabama,Perry County,163,9855,0.938650307,0.061349693,0,7.7,0,0.880672042
Alabama Picke,Alabama,Pickens County,239,20040,0.916317992,0.083682008,0,58,0,0.880672042
Alabama Rando,Alabama,Randolph County,166,22615,0.93373494,0.06626506,0,30.8,0,0.880672042
Alabama Russe,Alabama,Russell County,205,58635,0.970731707,0.029268293,0,31.7,0,0.880672042
Alabama St. C,Alabama,St. Clair County,182,86575,0.983516484,0.016483516,0,86.5,21,0.880672042
Alabama Shelb,Alabama,Shelby County,343,205950,0.982507289,0.017492711,0,160.9,5,0.880672042
Alabama Sumte,Alabama,Sumter County,245,13285,0.918367347,0.081632653,0,27.2,27.2,0.880672042
Alabama Tusca,Alabama,Tuscaloosa County,480,202470,0.972916667,0.027083333,0,107.1,41.7,0.880672042
Alabama Walke,Alabama,Walker County,273,65595,0.937728938,0.062271062,0,112,0,0.880672042
Alabama Washi,Alabama,Washington County,179,16910,0.877094972,0.122905028,0,28.5,0,0.880672042
Alabama Wilco,Alabama,Wilcox County,168,11120,0.839285714,0.160714286,0,53.2,0,0.880672042
Alabama Winst,Alabama,Winston County,79,24015,0.936708861,0.063291139,0,22.8,0,0.880672042
