Hash,State,County,Number of Bridges,Number of residents,Pct of Medium to Fair Condition Bridges,Pct of Poor Condition Bridges,Primary and Commercial Airports,Route miles of freight railroad,Route miles of passenger railroad and rail transit,Roads Acceptable,Number of returns,Adjust gross income,Total income amount,Salaries and wages amount,State and local income taxes amount,Real estate taxes amount,Total taxes paid amount,Residential energy tax credit amount,Population served,Water systems,Cities served,Water system per capita
Alabama Autau,Alabama,Autauga County,114,55050,0.964912281,0.035087719,0,50.7,0,0.880672042,24360,1421008,1433014,1059239,7362,1872,8673,196,70146,7,7,10020.85714
Alabama Baldw,Alabama,Baldwin County,360,199510,0.980555556,0.019444444,0,30.4,0,0.880672042,100970,6932600,7022633,4314569,65080,18061,60386,874,268514,25,25,10740.56
Alabama Barbo,Alabama,Barbour County,193,26615,0.968911917,0.031088083,0,14.7,0,0.880672042,9050,397058,400492,277667,1923,594,2297,33,37356,10,10,3735.6
Alabama Bloun,Alabama,Blount County,183,57705,0.912568306,0.087431694,0,13.1,0,0.880672042,22620,1173906,1185281,904928,5249,1196,5669,98,68104,10,12,5675.333333
Alabama Bullo,Alabama,Bullock County,138,10550,0.985507246,0.014492754,0,\N,\N,0.880672042,3800,128850,130332,99217,521,149,854,39,13596,3,3,4532
Alabama Butle,Alabama,Butler County,188,20280,0.946808511,0.053191489,0,45.3,0,0.880672042,7930,337438,341495,251339,1455,342,1539,120,27701,5,5,5540.2
Alabama Calho,Alabama,Calhoun County,374,115885,0.962566845,0.037433155,0,65.9,29.3,0.880672042,47160,2287435,2307336,1616963,11584,3313,13366,381,146166,10,10,14616.6
Alabama Chamb,Alabama,Chambers County,184,34020,0.929347826,0.070652174,0,28.9,0,0.880672042,13900,571937,576315,453338,3424,767,3443,984,37027,5,6,6171.166667
Alabama Chero,Alabama,Cherokee County,169,25895,0.982248521,0.017751479,0,\N,\N,0.880672042,9700,463874,468093,327596,2124,750,2736,44,22000,5,5,4400
Alabama Chilt,Alabama,Chilton County,189,43815,0.984126984,0.015873016,0,59.4,0,0.880672042,17230,863841,871488,662979,4042,970,4400,138,49828,6,6,8304.666667
Alabama Choct,Alabama,Choctaw County,153,13285,0.934640523,0.065359477,0,26.7,0,0.880672042,4890,236953,238994,185781,1065,231,1377,84,20535,5,5,4107
